Time,Analog_Airspeed,Analog_Altitude,SBG_PitchAngle_EU,SBG_RollAngle_EU,Nz_EU,Nx_EU,T72001_EU,T72002_EU,T27004_EU,T27002_EU,T27001_EU,SBG_YawAngle_EU
2019-06-03 15:39:47.600,143.0842,6970.0093,3.7098,0.5111,1.0717,-0.0092,2400.0,2340.0,-0.5594,-1.8003,4.132,-71.9572
2019-06-03 15:39:47.620,143.0924,6970.0093,3.7211,0.5016,1.0969,0.1287,2400.0,2340.0,-0.5564,-1.7973,4.1412,-71.9537
2019-06-03 15:39:47.640,143.1416,6970.0908,3.7211,0.5016,1.1098,0.0047,2400.0,2340.0,-0.5564,-1.6957,4.1306,-71.9537
2019-06-03 15:39:47.660,143.1416,6970.1182,3.7211,0.5016,1.1191,0.1532,2400.0,2340.0,-0.5857,-1.6598,4.1333,-71.9537
2019-06-03 15:39:47.680,143.0924,6970.0908,3.7274,0.4792,0.929,-0.011,2400.0,2340.0,-0.5681,-1.567,4.1452,-71.9415
2019-06-03 15:39:47.700,143.1006,6969.9819,3.7341,0.4581,0.9781,-0.0053,2400.0,2340.0,-0.5857,-1.5221,4.1161,-71.931
2019-06-03 15:39:47.720,143.0842,6970.0093,3.7341,0.4581,1.1693,0.1453,2400.0,2340.0,-0.5828,-1.4981,4.1465,-71.931
2019-06-03 15:39:47.740,143.1416,6969.9277,3.7341,0.4581,0.8668,0.0092,2400.0,2340.0,-0.5886,-1.4171,4.1214,-71.931
2019-06-03 15:39:47.760,143.1416,6969.9551,3.7452,0.4439,1.1424,0.1384,2400.0,2340.0,-0.5623,-1.4351,4.1492,-71.9187
2019-06-03 15:39:47.780,143.0842,6969.9551,3.7452,0.4439,0.8735,0.0061,2400.0,2340.0,-0.5594,-1.4321,4.1306,-71.9187
2019-06-03 15:39:47.800,143.076,6969.9551,3.7573,0.426,0.9068,-0.026,2400.0,2340.0,-0.5564,-1.4351,4.1253,-71.889
2019-06-03 15:39:47.820,143.0924,6969.9277,3.7683,0.4281,1.3287,0.1395,2400.0,2340.0,-0.5828,-1.5161,4.1293,-71.882
2019-06-03 15:39:47.840,143.1334,6969.9551,3.7683,0.4281,0.7525,0.0479,2400.0,2340.0,-0.5711,-1.528,4.1359,-71.882
2019-06-03 15:39:47.860,143.1498,6969.9551,3.7683,0.4281,1.193,0.0988,2400.0,2340.0,-0.5798,-1.6269,4.1478,-71.882
2019-06-03 15:39:47.880,143.0924,6969.9551,3.7723,0.4236,0.7869,0.0511,2400.0,2340.0,-0.574,-1.7136,4.1412,-71.8698
2019-06-03 15:39:47.900,143.0924,6969.9277,3.7817,0.4231,0.8831,0.0446,2400.0,2340.0,-0.5623,-1.7286,4.1333,-71.8575
2019-06-03 15:39:47.920,143.0842,6969.9551,3.7817,0.4231,1.2895,0.1009,2400.0,2340.0,-0.5798,-1.7973,4.1399,-71.8575
2019-06-03 15:39:47.940,143.0349,6969.9551,3.7817,0.4231,0.7858,0.065,2400.0,2340.0,-0.5711,-1.8241,4.1386,-71.8575
2019-06-03 15:39:47.960,143.0021,6969.9819,3.7941,0.4257,1.3136,0.0915,2400.0,2340.0,-0.5711,-1.9047,4.1492,-71.8453
2019-06-03 15:39:47.980,142.9527,6969.9551,3.7941,0.4257,0.7551,0.0595,2400.0,2340.0,-0.574,-1.8987,4.1518,-71.8453
2019-06-03 15:39:48.000,142.9527,6969.9819,3.8072,0.4205,0.8672,0.0636,2400.0,2340.0,-0.5681,-1.8928,4.1412,-71.8068
2019-06-03 15:39:48.020,142.961,6969.9277,3.8138,0.4173,1.2374,0.0497,2400.0,2340.0,-0.5711,-1.8928,4.1465,-71.8016
2019-06-03 15:39:48.040,143.0103,6969.9004,3.8138,0.4173,0.8687,0.1345,2400.0,2340.0,-0.5681,-1.842,4.1306,-71.8016
2019-06-03 15:39:48.060,143.0021,6969.9277,3.8138,0.4173,1.3239,0.0018,2400.0,2340.0,-0.5828,-1.8361,4.1452,-71.8016
2019-06-03 15:39:48.080,142.9527,6969.9004,3.8169,0.4083,0.8813,0.1598,2400.0,2340.0,-0.5857,-1.7794,4.1373,-71.7911
2019-06-03 15:39:48.100,142.9692,6969.8188,3.8277,0.4028,0.9179,0.1271,2400.0,2340.0,-0.5769,-1.6957,4.1253,-71.7823
2019-06-03 15:39:48.120,142.9527,6969.8462,3.8277,0.4028,1.1723,-0.0076,2400.0,2340.0,-0.5798,-1.6957,4.1373,-71.7823
2019-06-03 15:39:48.140,143.0103,6969.8188,3.8277,0.4028,0.9552,0.1588,2400.0,2340.0,-0.5681,-1.582,4.1359,-71.7823
2019-06-03 15:39:48.160,143.0021,6969.8188,3.8391,0.3991,1.1246,-0.0185,2400.0,2340.0,-0.5623,-1.555,4.1425,-71.7753
2019-06-03 15:39:48.180,142.9527,6969.8462,3.8391,0.3991,0.9367,0.1223,2400.0,2340.0,-0.5652,-1.4891,4.1412,-71.7753
2019-06-03 15:39:48.200,142.9527,6969.9004,3.8499,0.3917,0.987,0.1232,2400.0,2340.0,-0.5681,-1.4501,4.1293,-71.7649
2019-06-03 15:39:48.220,142.9692,6969.873,3.8525,0.3917,1.139,0.0207,2400.0,2340.0,-0.5711,-1.4651,4.1425,-71.7614
2019-06-03 15:39:48.240,143.0021,6969.873,3.8525,0.3917,0.9508,0.0975,2400.0,2340.0,-0.5535,-1.4621,4.1452,-71.7614
2019-06-03 15:39:48.260,143.0103,6969.9004,3.8525,0.3917,1.078,0.0022,2400.0,2340.0,-0.5652,-1.4981,4.1359,-71.7614
2019-06-03 15:39:48.280,142.961,6969.873,3.8621,0.3975,1.0806,0.122,2400.0,2340.0,-0.5623,-1.555,4.1386,-71.7561
2019-06-03 15:39:48.300,142.961,6969.7915,3.8758,0.4098,1.0503,0.1424,2400.0,2340.0,-0.5769,-1.57,4.1293,-71.7509
2019-06-03 15:39:48.320,142.9527,6969.7642,3.8758,0.4098,1.1017,0.0067,2400.0,2340.0,-0.5711,-1.6897,4.1518,-71.7509
2019-06-03 15:39:48.340,143.0103,6969.7915,3.8758,0.4098,1.0961,0.1493,2400.0,2340.0,-0.5681,-1.7614,4.1412,-71.7509
2019-06-03 15:39:48.360,143.0021,6969.8462,3.8872,0.4189,0.9696,-0.0152,2400.0,2340.0,-0.5594,-1.8271,4.1518,-71.7474
2019-06-03 15:39:48.380,142.9527,6969.8462,3.8872,0.4189,1.0769,0.1483,2400.0,2340.0,-0.5623,-1.86,4.1439,-71.7474
2019-06-03 15:39:48.400,142.961,6969.9277,3.9022,0.4329,1.1187,0.1631,2400.0,2400.0,-0.5564,-1.857,4.1359,-71.7474
2019-06-03 15:39:48.420,142.9692,6969.8462,3.9051,0.4354,0.9205,0.0284,2400.0,2400.0,-0.5623,-1.9077,4.1505,-71.7456
2019-06-03 15:39:48.440,143.0021,6969.873,3.9051,0.4354,1.1368,0.1195,2400.0,2400.0,-0.5477,-1.86,4.1373,-71.7456
2019-06-03 15:39:48.460,143.0185,6969.873,3.9051,0.4354,0.9415,0.0156,2400.0,2400.0,-0.5506,-1.8391,4.1505,-71.7456
2019-06-03 15:39:48.480,142.9445,6969.9819,3.9175,0.4399,1.2411,0.0892,2400.0,2400.0,-0.5535,-1.8391,4.1478,-71.7474
2019-06-03 15:39:48.500,142.961,6969.9277,3.9308,0.4456,1.3003,0.1144,2400.0,2400.0,-0.5623,-1.7734,4.1333,-71.7474
2019-06-03 15:39:48.520,142.9527,6969.9004,3.9308,0.4456,0.9334,0.0391,2400.0,2400.0,-0.5711,-1.7674,4.1465,-71.7474
2019-06-03 15:39:48.540,143.1334,6969.9551,3.9308,0.4456,1.1963,0.1166,2400.0,2400.0,-0.5652,-1.6478,4.1373,-71.7474
2019-06-03 15:39:48.560,143.1334,6969.9551,3.9399,0.4438,0.8117,0.0439,2400.0,2400.0,-0.5623,-1.5999,4.1412,-71.7491
2019-06-03 15:39:48.580,143.0924,6969.9819,3.9399,0.4438,1.1875,0.097,2400.0,2400.0,-0.5448,-1.594,4.1505,-71.7491
2019-06-03 15:39:48.600,143.0842,6970.0366,3.9562,0.4502,1.2492,0.1188,2400.0,2400.0,-0.5594,-1.549,4.1134,-71.7491
2019-06-03 15:39:48.620,143.0924,6970.0366,3.9622,0.4522,0.835,0.0772,2400.0,2400.0,-0.5535,-1.537,4.1531,-71.7509
2019-06-03 15:39:48.640,143.1416,6970.0366,3.9622,0.4522,1.2145,0.0613,2400.0,2400.0,-0.574,-1.5191,4.1346,-71.7509
2019-06-03 15:39:48.660,143.1416,6970.0093,3.9622,0.4522,0.8206,0.096,2400.0,2400.0,-0.5798,-1.534,4.1412,-71.7509
2019-06-03 15:39:48.680,143.0924,6970.0908,3.9735,0.4574,1.2189,0.0601,2400.0,2400.0,-0.5769,-1.534,4.1412,-71.7544
2019-06-03 15:39:48.700,143.0924,6969.9819,3.9844,0.4643,1.2677,0.0805,2400.0,2400.0,-0.5564,-1.546,4.1333,-71.7596
2019-06-03 15:39:48.720,143.076,6969.9551,3.9844,0.4643,0.8923,0.0773,2400.0,2400.0,-0.5418,-1.6658,4.1492,-71.7596
2019-06-03 15:39:48.740,143.0185,6970.064,3.9844,0.4643,1.257,0.0593,2400.0,2400.0,-0.5301,-1.7047,4.1425,-71.7596
2019-06-03 15:39:48.760,143.0021,6970.064,3.9924,0.4703,0.8746,0.08,2400.0,2400.0,-0.5418,-1.8241,4.1439,-71.7649
2019-06-03 15:39:48.780,142.961,6970.064,4.0053,0.4733,1.1708,0.0429,2400.0,2400.0,-0.5594,-1.8719,4.1452,-71.7701
2019-06-03 15:39:48.800,142.9527,6970.064,4.0123,0.4789,1.1786,0.0541,2400.0,2400.0,-0.5594,-1.8689,4.1386,-71.7718
2019-06-03 15:39:48.820,142.9692,6969.9819,4.0189,0.48,0.9382,0.0954,2400.0,2400.0,-0.5594,-1.8868,4.1531,-71.7753
2019-06-03 15:39:48.840,143.0103,6969.8462,4.0189,0.48,1.0832,0.0393,2400.0,2400.0,-0.5448,-1.8898,4.1386,-71.7753
2019-06-03 15:39:48.860,143.0185,6969.8188,4.0189,0.48,0.9223,0.0947,2400.0,2400.0,-0.5184,-1.8331,4.1531,-71.7753
2019-06-03 15:39:48.880,142.9527,6969.873,4.029,0.4747,1.085,0.0256,2400.0,2400.0,-0.5623,-1.8182,4.1253,-71.7823
2019-06-03 15:39:48.900,142.9692,6969.7373,4.0389,0.4716,1.1287,0.0567,2400.0,2400.0,-0.5301,-1.7435,4.1439,-71.7876
2019-06-03 15:39:48.920,142.9527,6969.7642,4.0389,0.4716,0.9308,0.138,2400.0,2400.0,-0.5711,-1.6837,4.1478,-71.7876
2019-06-03 15:39:48.940,143.0103,6969.7373,4.0389,0.4716,1.0196,0.0317,2400.0,2400.0,-0.5652,-1.5969,4.1492,-71.7876
2019-06-03 15:39:48.960,143.0103,6969.71,4.0472,0.4621,0.9382,0.1066,2400.0,2400.0,-0.5769,-1.576,4.1386,-71.7928
2019-06-03 15:39:48.980,142.961,6969.7642,4.0472,0.4621,1.1531,0.0275,2400.0,2400.0,-0.6003,-1.561,4.1425,-71.7928
2019-06-03 15:39:49.000,142.9527,6969.8462,4.0678,0.4517,1.1971,0.0497,2400.0,2400.0,-0.5681,-1.5251,4.1425,-71.7823
2019-06-03 15:39:49.020,142.9527,6969.8462,4.0745,0.449,0.9933,0.0877,2400.0,2400.0,-0.5535,-1.54,4.1465,-71.7841
2019-06-03 15:39:49.040,143.0103,6969.873,4.0745,0.449,1.0743,0.0821,2400.0,2400.0,-0.5477,-1.543,4.1425,-71.7841
2019-06-03 15:39:49.060,143.0185,6969.8462,4.0745,0.449,1.0292,0.0704,2400.0,2400.0,-0.5448,-1.594,4.1359,-71.7841
2019-06-03 15:39:49.080,142.9692,6969.8188,4.0857,0.4451,1.0913,0.0265,2400.0,2400.0,-0.5652,-1.6718,4.1359,-71.7893
2019-06-03 15:39:49.100,142.961,6969.7373,4.0929,0.4379,1.1264,0.037,2400.0,2400.0,-0.5594,-1.7286,4.1439,-71.7928
2019-06-03 15:39:49.120,142.9527,6969.7915,4.0929,0.4379,1.0802,0.1175,2400.0,2400.0,-0.5711,-1.8092,4.1505,-71.7928
2019-06-03 15:39:49.140,143.0103,6969.8188,4.0929,0.4379,1.0181,0.028,2400.0,2400.0,-0.574,-1.8152,4.1452,-71.7928
2019-06-03 15:39:49.160,142.9939,6969.9004,4.1024,0.4301,1.0743,0.109,2400.0,2400.0,-0.5594,-1.8152,4.1439,-71.7981
2019-06-03 15:39:49.180,142.9527,6969.9277,4.1024,0.4301,1.0943,-0.0026,2400.0,2400.0,-0.574,-1.8301,4.1465,-71.7981
2019-06-03 15:39:49.200,142.961,6969.9819,4.116,0.4135,1.1649,0.0148,2400.0,2400.0,-0.5681,-1.8122,4.1505,-71.8033
2019-06-03 15:39:49.220,142.961,6969.9277,4.1237,0.4072,1.1113,0.1271,2400.0,2400.0,-0.5594,-1.8092,4.1584,-71.8051
2019-06-03 15:39:49.240,143.0103,6969.9277,4.1237,0.4072,0.9511,0.0311,2400.0,2400.0,-0.5535,-1.7047,4.1452,-71.8051
2019-06-03 15:39:49.260,143.0185,6969.9819,4.1237,0.4072,1.1113,0.093,2400.0,2400.0,-0.5594,-1.6299,4.1373,-71.8051
2019-06-03 15:39:49.280,142.9527,6970.0093,4.1306,0.3909,1.044,-0.0025,2400.0,2400.0,-0.5769,-1.588,4.1399,-71.8121
2019-06-03 15:39:49.300,142.961,6969.9277,4.1353,0.372,1.0858,0.0095,2400.0,2400.0,-0.5711,-1.534,4.1412,-71.8191
2019-06-03 15:39:49.320,142.9445,6969.9551,4.1353,0.372,1.1786,0.136,2400.0,2400.0,-0.5623,-1.5221,4.1492,-71.8191
2019-06-03 15:39:49.340,143.0103,6969.9277,4.1353,0.372,0.9674,0.0173,2400.0,2400.0,-0.5594,-1.4831,4.1333,-71.8191
2019-06-03 15:39:49.360,143.0103,6969.9551,4.1467,0.3572,1.0747,0.1031,2400.0,2400.0,-0.5506,-1.4771,4.1478,-71.826
2019-06-03 15:39:49.380,142.961,6969.9551,4.1467,0.3572,1.0399,0.0162,2400.0,2400.0,-0.5857,-1.5011,4.1373,-71.826
2019-06-03 15:39:49.400,142.9527,6969.9551,4.1602,0.3387,0.9249,0.0278,2340.0,2400.0,-0.574,-1.5101,4.1399,-71.8348
2019-06-03 15:39:49.420,142.961,6969.9277,4.1674,0.3372,1.0525,0.1309,2340.0,2400.0,-0.5681,-1.54,4.1425,-71.8365
2019-06-03 15:39:49.440,143.0103,6969.9819,4.1674,0.3372,0.9134,0.0213,2340.0,2400.0,-0.5477,-1.5999,4.1359,-71.8365
2019-06-03 15:39:49.460,143.0021,6969.9551,4.1674,0.3372,1.1475,0.115,2340.0,2400.0,-0.5506,-1.6747,4.1306,-71.8365
2019-06-03 15:39:49.480,142.9527,6969.9551,4.1748,0.3296,0.9101,0.0393,2340.0,2400.0,-0.5448,-1.7734,4.1478,-71.8418
2019-06-03 15:39:49.500,142.9692,6969.873,4.1856,0.324,0.9038,0.0261,2340.0,2400.0,-0.5564,-1.7853,4.1346,-71.8453
2019-06-03 15:39:49.520,142.961,6969.8462,4.1856,0.324,1.1431,0.1106,2340.0,2400.0,-0.5711,-1.8122,4.1425,-71.8453
2019-06-03 15:39:49.540,142.8869,6969.8462,4.1856,0.324,0.9293,0.0207,2340.0,2400.0,-0.5798,-1.8122,4.1399,-71.8453
2019-06-03 15:39:49.560,142.8787,6969.9277,4.2013,0.3168,1.1449,0.1032,2340.0,2400.0,-0.5711,-1.7674,4.1386,-71.847
2019-06-03 15:39:49.580,142.8293,6969.9551,4.2013,0.3168,0.8261,0.0337,2340.0,2400.0,-0.5681,-1.7943,4.1465,-71.847
2019-06-03 15:39:49.600,142.8293,6969.9551,4.2187,0.3039,0.8457,0.0309,2340.0,2400.0,-0.5389,-1.7555,4.1386,-71.8505
2019-06-03 15:39:49.620,142.8293,6969.9551,4.2259,0.3006,1.206,0.0863,2340.0,2400.0,-0.5301,-1.7495,4.1452,-71.8523
2019-06-03 15:39:49.640,142.8787,6969.9277,4.2259,0.3006,0.9815,0.0682,2340.0,2400.0,-0.5389,-1.6388,4.1412,-71.8523
2019-06-03 15:39:49.660,142.8952,6969.9004,4.2259,0.3006,1.1912,0.0588,2340.0,2400.0,-0.5448,-1.555,4.1439,-71.8523
2019-06-03 15:39:49.680,142.821,6969.873,4.2356,0.2864,0.8805,0.0982,2340.0,2400.0,-0.5944,-1.558,4.1412,-71.854
2019-06-03 15:39:49.700,142.8375,6969.8462,4.2496,0.2766,0.821,0.0589,2340.0,2400.0,-0.5798,-1.4951,4.1439,-71.854
2019-06-03 15:39:49.720,142.8293,6969.8462,4.2496,0.2766,1.1975,0.0281,2340.0,2400.0,-0.5711,-1.4711,4.1412,-71.854
2019-06-03 15:39:49.740,142.8705,6969.873,4.2496,0.2766,0.9615,0.0837,2340.0,2400.0,-0.5594,-1.4861,4.1478,-71.854
2019-06-03 15:39:49.760,142.8869,6969.9004,4.2627,0.2692,1.2145,0.0401,2340.0,2400.0,-0.5448,-1.4891,4.1333,-71.8523
2019-06-03 15:39:49.780,142.8293,6969.873,4.2627,0.2692,0.95,0.1516,2340.0,2400.0,-0.5448,-1.5071,4.1373,-71.8523
2019-06-03 15:39:49.800,142.8375,6969.873,4.2746,0.2548,0.875,0.1026,2340.0,2400.0,-0.5389,-1.5071,4.1333,-71.8523
2019-06-03 15:39:49.820,142.8375,6969.8462,4.2771,0.253,1.2699,0.0167,2340.0,2400.0,-0.5477,-1.561,4.1412,-71.8488
2019-06-03 15:39:49.840,142.8869,6969.9551,4.2771,0.253,0.8565,0.0968,2340.0,2400.0,-0.5681,-1.6149,4.1439,-71.8488
2019-06-03 15:39:49.860,142.8869,6969.9551,4.2771,0.253,1.2711,0.0122,2340.0,2400.0,-0.5711,-1.6329,4.1452,-71.8488
2019-06-03 15:39:49.880,142.821,6969.9819,4.288,0.25,1.058,0.1451,2340.0,2400.0,-0.5711,-1.7345,4.1439,-71.847
2019-06-03 15:39:49.900,142.8375,6969.9819,4.3013,0.2454,0.9415,0.148,2340.0,2400.0,-0.5535,-1.7405,4.1373,-71.8418
2019-06-03 15:39:49.920,142.8293,6969.9819,4.3013,0.2454,1.2015,-0.0344,2340.0,2400.0,-0.5477,-1.7614,4.1425,-71.8418
2019-06-03 15:39:49.940,142.7551,6969.9551,4.3013,0.2454,0.9134,0.1395,2340.0,2400.0,-0.5535,-1.7823,4.1465,-71.8418
2019-06-03 15:39:49.960,142.7468,6970.0908,4.312,0.2358,1.1823,-0.0172,2340.0,2400.0,-0.5477,-1.7196,4.1399,-71.8383
2019-06-03 15:39:49.980,142.6973,6970.1729,4.312,0.2358,1.0839,0.1832,2340.0,2400.0,-0.5652,-1.7674,4.1425,-71.8383
2019-06-03 15:39:50.000,142.6973,6970.1729,4.3231,0.2251,1.0421,0.1601,2340.0,2400.0,-0.5594,-1.7226,4.1333,-71.8173
2019-06-03 15:39:50.020,142.7056,6970.1729,4.3226,0.2168,1.1098,-0.0216,2340.0,2400.0,-0.5535,-1.6718,4.1373,-71.8156
2019-06-03 15:39:50.040,142.7551,6970.1729,4.3226,0.2168,1.0773,0.1567,2340.0,2400.0,-0.5535,-1.6508,4.1478,-71.8156
2019-06-03 15:39:50.060,142.7633,6970.0366,4.3226,0.2168,1.0521,-0.0124,2340.0,2400.0,-0.5448,-1.573,4.1373,-71.8156
2019-06-03 15:39:50.080,142.7056,6969.9551,4.3321,0.2093,1.1213,0.1682,2340.0,2400.0,-0.5623,-1.594,4.1531,-71.8103
2019-06-03 15:39:50.100,142.7138,6969.8462,4.3437,0.1998,1.0262,0.1524,2340.0,2400.0,-0.574,-1.582,4.1412,-71.8051
2019-06-03 15:39:50.120,142.689,6969.873,4.3437,0.1998,0.9508,0.0038,2340.0,2400.0,-0.5711,-1.546,4.1505,-71.8051
2019-06-03 15:39:50.140,142.7468,6969.8462,4.3437,0.1998,1.1753,0.1458,2340.0,2400.0,-0.5623,-1.57,4.1531,-71.8051
2019-06-03 15:39:50.160,142.7386,6969.873,4.3511,0.1923,0.9478,0.0055,2340.0,2400.0,-0.5418,-1.567,4.1386,-71.7998
2019-06-03 15:39:50.180,142.7056,6969.9277,4.3556,0.1861,1.2097,0.1608,2340.0,2400.0,-0.5418,-1.5999,4.1465,-71.7893
2019-06-03 15:39:50.200,142.6973,6969.9004,4.3667,0.1856,1.0732,0.1229,2340.0,2400.0,-0.5506,-1.5969,4.1386,-71.7858
2019-06-03 15:39:50.220,142.7056,6969.873,4.3678,0.1803,0.848,0.0212,2340.0,2400.0,-0.5448,-1.6089,4.1505,-71.7823
2019-06-03 15:39:50.240,142.7468,6969.9277,4.3678,0.1803,1.1775,0.0979,2340.0,2400.0,-0.5652,-1.6359,4.1492,-71.7823
2019-06-03 15:39:50.260,142.7551,6969.9551,4.3678,0.1803,0.872,0.0436,2340.0,2400.0,-0.5681,-1.6359,4.1425,-71.7823
2019-06-03 15:39:50.280,142.6973,6970.0093,4.3809,0.1801,1.2289,0.1289,2340.0,2400.0,-0.5798,-1.6418,4.1412,-71.7753
2019-06-03 15:39:50.300,142.6973,6970.0093,4.3909,0.1761,1.1878,0.0973,2340.0,2400.0,-0.5594,-1.6388,4.1492,-71.7666
2019-06-03 15:39:50.320,142.6973,6970.8262,4.3909,0.1761,0.9338,0.0471,2340.0,2400.0,-0.5623,-1.6418,4.1346,-71.7666
2019-06-03 15:39:50.340,142.7551,6972.0239,4.3909,0.1761,1.2026,0.0791,2340.0,2400.0,-0.5594,-1.6478,4.1386,-71.7666
2019-06-03 15:39:50.360,142.7468,6972.8677,4.3984,0.1705,0.8165,0.0911,2340.0,2400.0,-0.5623,-1.6388,4.1386,-71.7596
2019-06-03 15:39:50.380,142.6973,6974.2017,4.3984,0.1705,1.3017,0.0805,2340.0,2400.0,-0.5564,-1.6568,4.1425,-71.7596
2019-06-03 15:39:50.400,142.6973,6975.0996,4.4133,0.1679,1.3302,0.0611,2400.0,2400.0,-0.5623,-1.6299,4.1386,-71.7526
2019-06-03 15:39:50.420,142.6973,6975.9438,4.418,0.1665,0.7888,0.0694,2400.0,2400.0,-0.5448,-1.6359,4.1412,-71.7474
2019-06-03 15:39:50.440,142.7468,6977.1958,4.418,0.1665,1.2433,0.0326,2400.0,2400.0,-0.5477,-1.6568,4.1465,-71.7474
2019-06-03 15:39:50.460,142.7551,6978.0669,4.418,0.1665,0.9053,0.1306,2400.0,2400.0,-0.5623,-1.6448,4.128,-71.7474
2019-06-03 15:39:50.480,142.6973,6978.3662,4.4298,0.1675,1.21,0.0164,2400.0,2400.0,-0.5506,-1.6508,4.1571,-71.7386
2019-06-03 15:39:50.500,142.7056,6978.3394,4.4365,0.1685,1.2041,0.0328,2400.0,2400.0,-0.574,-1.6478,4.1386,-71.7299
2019-06-03 15:39:50.520,142.689,6978.3394,4.4365,0.1685,0.9371,0.1131,2400.0,2400.0,-0.5623,-1.6478,4.1465,-71.7299
2019-06-03 15:39:50.540,142.6229,6978.3662,4.4365,0.1685,1.1912,0.0051,2400.0,2400.0,-0.5681,-1.6777,4.1293,-71.7299
2019-06-03 15:39:50.560,142.6147,6978.4209,4.4443,0.1676,0.9364,0.1335,2400.0,2400.0,-0.5389,-1.6628,4.1399,-71.7211
2019-06-03 15:39:50.580,142.565,6978.4482,4.4443,0.1676,1.1568,-0.0225,2400.0,2400.0,-0.5594,-1.6568,4.1452,-71.7211
2019-06-03 15:39:50.600,142.565,6978.5298,4.4605,0.1728,1.1675,-0.028,2400.0,2400.0,-0.5506,-1.6538,4.1492,-71.7124
2019-06-03 15:39:50.620,142.5816,6978.4209,4.4697,0.1754,0.9415,0.1911,2400.0,2400.0,-0.5623,-1.6448,4.1373,-71.7072
2019-06-03 15:39:50.640,142.6229,6978.3936,4.4697,0.1754,1.0044,-0.0545,2400.0,2400.0,-0.5828,-1.6448,4.1465,-71.7072
2019-06-03 15:39:50.660,142.6229,6978.3936,4.4697,0.1754,1.0972,0.2002,2400.0,2400.0,-0.5769,-1.6448,4.1399,-71.7072
2019-06-03 15:39:50.680,142.565,6978.4482,4.4794,0.1783,1.0506,-0.0387,2400.0,2400.0,-0.5915,-1.6628,4.1439,-71.6967
2019-06-03 15:39:50.700,142.5733,6978.3936,4.4872,0.1762,0.8642,-0.0405,2400.0,2400.0,-0.5828,-1.6628,4.1439,-71.6862
2019-06-03 15:39:50.720,142.5568,6978.3662,4.4872,0.1762,1.1427,0.1732,2400.0,2400.0,-0.5798,-1.6508,4.1412,-71.6862
2019-06-03 15:39:50.740,142.6312,6978.3394,4.4872,0.1762,0.9981,0.0031,2400.0,2400.0,-0.5798,-1.6538,4.1452,-71.6862
2019-06-03 15:39:50.760,142.6229,6978.2573,4.4999,0.1775,1.1457,0.1399,2400.0,2400.0,-0.5769,-1.6538,4.132,-71.6774
